Fecha,Vistas
2026-01-01,64304
2026-01-02,48632
2026-01-03,36727
2026-01-04,36729
2026-01-05,47929
2026-01-06,48253
2026-01-07,38719
2026-01-08,40937
2026-01-09,42138
2026-01-10,44312
2026-01-11,46130
2026-01-12,46067
2026-01-13,42996
2026-01-14,45806
2026-01-15,47861
2026-01-16,50162
2026-01-17,50669
2026-01-18,61296
2026-01-19,53754
2026-01-20,43146
2026-01-21,42759
2026-01-22,36251
2026-01-23,43420
2026-01-24,47860
2026-01-25,54247
2026-01-26,33124
2026-01-27,49089
2026-01-28,41532
2026-01-29,38996
2026-01-30,42506
2026-01-31,52302
2026-02-01,106230
