Fuente de tráfico,Vistas,Tiempo de reproducción (horas),Impresiones,Tasa de clics de las impresiones (%)
Total,1642968,8715.6242,145783,4.09
Publicidad de YouTube,1623509,6976.778,,
Externas,6908,340.0047,,
Videos sugeridos,3857,480.145,59380,4.73
Búsqueda de YouTube,2038,222.4301,27441,5.57
Directa o desconocida,1947,161.2641,,
Funciones de exploración,1790,420.8738,41147,3.24
Feed de Shorts,1648,3.4615,,
Canales de usuario,615,41.5679,16377,1.5
Otras funciones de YouTube,257,50.5894,,
Notificaciones,203,2.6229,,
Playlists,193,15.8708,1438,2.85
Páginas de hashtag,2,0.0132,,
Páginas de sonido,1,0.0028,,
