"Date","Video Views","Profile Views","Likes","Comments","Shares"
"1 de marzo","1760644","2010","1782","6","68"
"2 de marzo","1260175","1402","1230","6","38"
"3 de marzo","927438","896","952","32","50"
"4 de marzo","668267","628","740","12","23"
"5 de marzo","776792","681","805","7","52"
"6 de marzo","771951","557","911","8","27"
"7 de marzo","796770","695","884","5","40"
"8 de marzo","732052","588","865","14","50"
"9 de marzo","741230","754","867","6","38"
"10 de marzo","888075","869","863","8","58"
"11 de marzo","718526","643","724","17","38"
"12 de marzo","765595","881","1100","51","147"
"13 de marzo","839659","1301","2042","212","420"
"14 de marzo","626871","700","1085","84","100"
"15 de marzo","711138","656","1120","84","97"
"16 de marzo","841728","694","1041","62","80"
"17 de marzo","686177","704","906","36","82"
"18 de marzo","862552","935","1117","61","121"
"19 de marzo","729961","1080","1348","192","244"
"20 de marzo","762704","761","1155","71","154"
"21 de marzo","887852","859","1245","18","136"
"22 de marzo","831399","616","958","17","69"
"23 de marzo","888064","1047","1087","35","96"
"24 de marzo","950940","827","1027","21","58"
"25 de marzo","731105","794","1002","84","129"
"26 de marzo","640643","645","885","69","109"
"27 de marzo","512306","452","695","62","73"
"28 de marzo","643072","632","803","24","77"
"29 de marzo","680028","531","815","16","57"
"30 de marzo","579563","470","733","9","43"
"31 de marzo","571870","478","760","24","43"
"1 de abril","547792","444","689","7","26"
