Fecha,Contenido,Título del video,Tiempo de publicación del video,Duración,Vistas
2026-04-01,DzkVnRAYPIs,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,31903
2026-04-02,DzkVnRAYPIs,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,20828
2026-04-03,DzkVnRAYPIs,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,18936
2026-04-04,DzkVnRAYPIs,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,18642
2026-04-05,DzkVnRAYPIs,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,20506
2026-04-06,DzkVnRAYPIs,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,18479
2026-04-07,DzkVnRAYPIs,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,12993
2026-04-08,DzkVnRAYPIs,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,13016
2026-04-09,DzkVnRAYPIs,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,11370
2026-04-10,DzkVnRAYPIs,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,12661
2026-04-11,DzkVnRAYPIs,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,20174
2026-04-12,DzkVnRAYPIs,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,14180
2026-04-13,DzkVnRAYPIs,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,10329
2026-04-14,DzkVnRAYPIs,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,12658
2026-04-15,DzkVnRAYPIs,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,13135
2026-04-16,DzkVnRAYPIs,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,14296
2026-04-17,DzkVnRAYPIs,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,13068
2026-04-18,DzkVnRAYPIs,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,8966
2026-04-19,DzkVnRAYPIs,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,13375
2026-04-20,DzkVnRAYPIs,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,8808
2026-04-21,DzkVnRAYPIs,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,11032
2026-04-22,DzkVnRAYPIs,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,10445
2026-04-23,DzkVnRAYPIs,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,12220
2026-04-24,DzkVnRAYPIs,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,12417
2026-04-25,DzkVnRAYPIs,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,10708
2026-04-26,DzkVnRAYPIs,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,10240
2026-04-27,DzkVnRAYPIs,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,9776
2026-04-28,DzkVnRAYPIs,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,6818
2026-04-29,DzkVnRAYPIs,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,8748
2026-04-30,DzkVnRAYPIs,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,7338
2026-04-01,Vv4QL_81-Bw,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,5750
2026-04-02,Vv4QL_81-Bw,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,3832
2026-04-03,Vv4QL_81-Bw,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,4300
2026-04-04,Vv4QL_81-Bw,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,4515
2026-04-05,Vv4QL_81-Bw,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,5556
2026-04-06,Vv4QL_81-Bw,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,2255
2026-04-07,Vv4QL_81-Bw,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,2835
2026-04-08,Vv4QL_81-Bw,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,2471
2026-04-09,Vv4QL_81-Bw,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,1579
2026-04-10,Vv4QL_81-Bw,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,2188
2026-04-11,Vv4QL_81-Bw,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,3543
2026-04-12,Vv4QL_81-Bw,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,2808
2026-04-13,Vv4QL_81-Bw,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,1742
2026-04-14,Vv4QL_81-Bw,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,3053
2026-04-15,Vv4QL_81-Bw,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,2612
2026-04-16,Vv4QL_81-Bw,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,3088
2026-04-17,Vv4QL_81-Bw,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,2887
2026-04-18,Vv4QL_81-Bw,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,2506
2026-04-19,Vv4QL_81-Bw,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,3272
2026-04-20,Vv4QL_81-Bw,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,2204
2026-04-21,Vv4QL_81-Bw,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,2560
2026-04-22,Vv4QL_81-Bw,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,2034
2026-04-23,Vv4QL_81-Bw,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,1886
2026-04-24,Vv4QL_81-Bw,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,2119
2026-04-25,Vv4QL_81-Bw,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,1992
2026-04-26,Vv4QL_81-Bw,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,1817
2026-04-27,Vv4QL_81-Bw,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,1205
2026-04-28,Vv4QL_81-Bw,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,917
2026-04-29,Vv4QL_81-Bw,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,1257
2026-04-30,Vv4QL_81-Bw,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,1339
2026-04-01,_F8ze0vO2xM,"Ser Eanista es vivir la U completa: cultura, deporte y experiencias que van más allá de las clases.","Jan 5, 2026",59,9857
2026-04-02,_F8ze0vO2xM,"Ser Eanista es vivir la U completa: cultura, deporte y experiencias que van más allá de las clases.","Jan 5, 2026",59,7188
2026-04-03,_F8ze0vO2xM,"Ser Eanista es vivir la U completa: cultura, deporte y experiencias que van más allá de las clases.","Jan 5, 2026",59,6764
2026-04-04,_F8ze0vO2xM,"Ser Eanista es vivir la U completa: cultura, deporte y experiencias que van más allá de las clases.","Jan 5, 2026",59,5565
2026-04-05,_F8ze0vO2xM,"Ser Eanista es vivir la U completa: cultura, deporte y experiencias que van más allá de las clases.","Jan 5, 2026",59,6195
2026-04-06,_F8ze0vO2xM,"Ser Eanista es vivir la U completa: cultura, deporte y experiencias que van más allá de las clases.","Jan 5, 2026",59,3738
2026-04-07,_F8ze0vO2xM,"Ser Eanista es vivir la U completa: cultura, deporte y experiencias que van más allá de las clases.","Jan 5, 2026",59,2882
2026-04-08,_F8ze0vO2xM,"Ser Eanista es vivir la U completa: cultura, deporte y experiencias que van más allá de las clases.","Jan 5, 2026",59,2137
2026-04-09,_F8ze0vO2xM,"Ser Eanista es vivir la U completa: cultura, deporte y experiencias que van más allá de las clases.","Jan 5, 2026",59,3877
2026-04-10,_F8ze0vO2xM,"Ser Eanista es vivir la U completa: cultura, deporte y experiencias que van más allá de las clases.","Jan 5, 2026",59,5583
2026-04-11,_F8ze0vO2xM,"Ser Eanista es vivir la U completa: cultura, deporte y experiencias que van más allá de las clases.","Jan 5, 2026",59,10421
