Fecha,Vistas
2026-04-01,70446
2026-04-02,51059
2026-04-03,52897
2026-04-04,50872
2026-04-05,51704
2026-04-06,34840
2026-04-07,33188
2026-04-08,33943
2026-04-09,38235
2026-04-10,39672
2026-04-11,54553
2026-04-12,33824
2026-04-13,29601
2026-04-14,32613
2026-04-15,33757
2026-04-16,39908
2026-04-17,41046
2026-04-18,31328
2026-04-19,49023
2026-04-20,27025
2026-04-21,32416
2026-04-22,27398
2026-04-23,29490
2026-04-24,27002
2026-04-25,35208
2026-04-26,29761
2026-04-27,28082
2026-04-28,12758
2026-04-29,16277
2026-04-30,16185
