Fecha,Tráfico orgánico y pagado,Vistas
2026-04-01,Pagada,69957
2026-04-02,Pagada,50626
2026-04-03,Pagada,52334
2026-04-04,Pagada,50151
2026-04-05,Pagada,50872
2026-04-06,Pagada,34070
2026-04-07,Pagada,32002
2026-04-08,Pagada,33072
2026-04-09,Pagada,37343
2026-04-10,Pagada,38995
2026-04-11,Pagada,54040
2026-04-12,Pagada,33161
2026-04-13,Pagada,28711
2026-04-14,Pagada,31892
2026-04-15,Pagada,32944
2026-04-16,Pagada,37786
2026-04-17,Pagada,40176
2026-04-18,Pagada,30808
2026-04-19,Pagada,48219
2026-04-20,Pagada,26285
2026-04-21,Pagada,31795
2026-04-22,Pagada,26773
2026-04-23,Pagada,28886
2026-04-24,Pagada,26416
2026-04-25,Pagada,34784
2026-04-26,Pagada,29284
2026-04-27,Pagada,27368
2026-04-28,Pagada,12121
2026-04-29,Pagada,15706
2026-04-30,Pagada,15350
2026-04-01,Orgánica,489
2026-04-02,Orgánica,433
2026-04-03,Orgánica,454
2026-04-04,Orgánica,665
2026-04-05,Orgánica,797
2026-04-06,Orgánica,770
2026-04-07,Orgánica,1186
2026-04-08,Orgánica,871
2026-04-09,Orgánica,846
2026-04-10,Orgánica,629
2026-04-11,Orgánica,473
2026-04-12,Orgánica,663
2026-04-13,Orgánica,840
2026-04-14,Orgánica,721
2026-04-15,Orgánica,813
2026-04-16,Orgánica,2122
2026-04-17,Orgánica,827
2026-04-18,Orgánica,520
2026-04-19,Orgánica,733
2026-04-20,Orgánica,740
2026-04-21,Orgánica,621
2026-04-22,Orgánica,625
2026-04-23,Orgánica,604
2026-04-24,Orgánica,586
2026-04-25,Orgánica,360
2026-04-26,Orgánica,477
2026-04-27,Orgánica,714
2026-04-28,Orgánica,637
2026-04-29,Orgánica,570
2026-04-30,Orgánica,835
