"Date","Video Views","Profile Views","Likes","Comments","Shares"
"1 de mayo","324631","324","260","-3","16"
"2 de mayo","325084","370","296","2","25"
"3 de mayo","500063","1386","2557","411","662"
"4 de mayo","403461","1354","1741","225","468"
"5 de mayo","419373","1204","1009","145","222"
"6 de mayo","335393","589","1140","44","206"
"7 de mayo","374777","714","930","56","185"
"8 de mayo","428981","520","1103","58","160"
"9 de mayo","324565","384","695","40","101"
"10 de mayo","360628","345","556","13","54"
"11 de mayo","408629","380","478","11","43"
"12 de mayo","404837","618","738","21","107"
"13 de mayo","330102","627","621","19","62"
"14 de mayo","264374","354","291","3","50"
"15 de mayo","387257","329","687","0","44"
"16 de mayo","398908","304","751","-1","48"
"17 de mayo","400298","425","694","16","45"
"18 de mayo","414822","392","589","-7","33"
"19 de mayo","342647","337","381","7","44"
"20 de mayo","279591","256","344","8","42"
"21 de mayo","289199","258","242","-42","43"
"22 de mayo","259438","317","233","-4","21"
"23 de mayo","259906","332","232","-2","21"
"24 de mayo","240240","254","217","1","21"
"25 de mayo","281673","308","258","17","46"
"26 de mayo","289445","344","288","-4","40"
"27 de mayo","232882","382","648","6","92"
"28 de mayo","290052","598","1056","-9","211"
"29 de mayo","294518","436","608","4","155"
"30 de mayo","236253","335","561","-13","156"
"31 de mayo","242572","325","416","-5","68"
"1 de junio","350653","399","389","-25","43"
