Fuente de tráfico,Vistas,Tiempo de reproducción (horas),Impresiones,Tasa de clics de las impresiones (%)
Total,642586,4707.6858,219698,3.76
Publicidad de YouTube,623257,3193.4758,,
Videos sugeridos,5375,466.7423,119108,3.62
Externas,5045,187.3604,,
Funciones de exploración,2609,474.6611,48878,3.6
Búsqueda de YouTube,2544,238.5261,32333,5.82
Feed de Shorts,1539,3.468,,
Directa o desconocida,1404,77.7405,,
Canales de usuario,430,23.5451,17971,1.42
Otras funciones de YouTube,237,31.2649,,
Playlists,144,16.8852,1408,4.19
Notificaciones,131,4.0024,,
Páginas de hashtag,12,0.0191,,
Video de remix,1,0.0015,,
