Fecha,Vistas
2026-05-01,27128
2026-05-02,25600
2026-05-03,20269
2026-05-04,13889
2026-05-05,14985
2026-05-06,14316
2026-05-07,17017
2026-05-08,20820
2026-05-09,16518
2026-05-10,21169
2026-05-11,17759
2026-05-12,19664
2026-05-13,20201
2026-05-14,18347
2026-05-15,23181
2026-05-16,30805
2026-05-17,18965
2026-05-18,20881
2026-05-19,19312
2026-05-20,18627
2026-05-21,16115
2026-05-22,17183
2026-05-23,20255
2026-05-24,24607
2026-05-25,19359
2026-05-26,16797
2026-05-27,20763
2026-05-28,25566
2026-05-29,27255
2026-05-30,30120
2026-05-31,25113
