"Date","Video Views","Profile Views","Likes","Comments","Shares"
"1 de abril","547792","444","689","7","26"
"2 de abril","595575","445","800","10","24"
"3 de abril","544687","394","742","15","34"
"4 de abril","599250","447","823","6","37"
"5 de abril","640207","536","896","11","28"
"6 de abril","683176","553","783","64","22"
"7 de abril","510516","398","528","8","15"
"8 de abril","486170","335","500","13","33"
"9 de abril","507032","457","514","3","23"
"10 de abril","563728","522","704","5","48"
"11 de abril","546543","562","603","0","23"
"12 de abril","592322","633","593","7","26"
"13 de abril","693628","682","686","5","32"
"14 de abril","657572","585","580","-9","36"
"15 de abril","655307","543","677","4","36"
"16 de abril","602235","585","728","6","58"
"17 de abril","512263","444","555","4","36"
"18 de abril","478022","427","478","-26","13"
"19 de abril","550436","514","506","5","42"
"20 de abril","495202","452","399","0","23"
"21 de abril","583890","455","502","6","24"
"22 de abril","542836","438","454","14","22"
"23 de abril","492043","493","407","5","24"
"24 de abril","497895","498","420","1","34"
"25 de abril","566384","484","473","-5","38"
"26 de abril","584946","548","538","1","13"
"27 de abril","556382","498","502","-3","42"
"28 de abril","595752","451","502","-12","46"
"29 de abril","400722","350","295","4","19"
"30 de abril","349977","317","342","2","37"
"1 de mayo","324631","324","260","-3","16"
