Contenido,Título del video,Tiempo de publicación del video,Duración,Vistas,Tiempo de reproducción (horas),Suscriptores,Duración promedio de vistas,Impresiones,Tasa de clics de las impresiones (%)
Total,,,,1084111,6186.3231,39,0:00:57,244348,3.57
DzkVnRAYPIs,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,408065,1941.2392,0,0:00:43,163,7.36
lZl1OWV2HWc,El siguiente paso en tu carrera está con la #UniversidadEan,"Oct 30, 2025",38,250701,962.4785,0,0:00:36,488,0.41
cI3_jDfxj8o,Un posgrado de la #UniversidadEan que se adapta a ti,"Oct 30, 2025",38,176554,1007.0251,0,0:00:36,122,2.46
_F8ze0vO2xM,"Ser Eanista es vivir la U completa: cultura, deporte y experiencias que van más allá de las clases.","Jan 5, 2026",59,133688,285.0473,0,0:01:01,249,3.61
Vv4QL_81-Bw,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,80122,395.7592,0,0:00:44,308,3.57
nRuP_N4xQV8,¡Llegó un nuevo modelo virtual a la Universidad Ean! 💻📲,"Oct 31, 2025",37,7140,35.1433,0,0:00:35,144,2.08
oh_ixcQ3DS8,Descubre el nuevo modelo Virtual 📲💻de la Universidad Ean💚,"Oct 31, 2025",37,6863,38.8835,0,0:00:35,426,3.05
azOGTMcaYm4,"'Todos sumamos en el lugar correcto' - Experimento social sobre inclusión, Universidad Ean","Jan 17, 2024",464,6655,293.5471,16,0:02:38,125982,3.7
AUNrXlQ-1qo,¿Cómo entender los grandes sucesos del siglo XXI? / Conferencia de Diana Uribe,"Aug 22, 2019",3543,4062,1047.2842,17,0:15:28,77987,3.3
O5r1FSHqavQ,De la idea a la NASA | #DíaDelEmprendedor,"Apr 16, 2026",36,1371,2.5042,1,0:00:12,431,1.16
lm77aq-DOJA,"Crea, programa y automatiza: estudia Ingeniería Mecatrónica en la Ean","Apr 7, 2026",47,475,0.5447,1,0:00:13,744,1.34
ryS9yVfl6zQ,¡Tips de emprendedores que SÍ funcionan!,"Apr 4, 2026",93,463,0.7874,1,0:00:28,365,2.19
Vt0eHcZpBl8,Emprender para transformar realidades | #EAN,"Apr 17, 2026",68,452,0.768,1,0:00:18,368,1.36
