Contenido,Título del video,Tiempo de publicación del video,Duración,Vistas,Tiempo de reproducción (horas),Suscriptores,Impresiones,Tasa de clics de las impresiones (%)
Total,,,,1464161,8373.5095,65,231417,3.74
DzkVnRAYPIs,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,787427,3605.8413,1,234,5.56
cI3_jDfxj8o,Un posgrado de la #UniversidadEan que se adapta a ti,"Oct 30, 2025",38,196496,1114.335,0,140,4.29
lZl1OWV2HWc,El siguiente paso en tu carrera está con la #UniversidadEan,"Oct 30, 2025",38,184165,759.3849,0,275,3.64
Vv4QL_81-Bw,Conoce las ventajas de estudiar un pregrado en la Universidad Ean,"Oct 30, 2025",47,155436,681.8627,0,330,3.94
_F8ze0vO2xM,"Ser Eanista es vivir la U completa: cultura, deporte y experiencias que van más allá de las clases.","Jan 5, 2026",59,98578,232.9759,0,258,4.65
nRuP_N4xQV8,¡Llegó un nuevo modelo virtual a la Universidad Ean! 💻📲,"Oct 31, 2025",37,13528,69.5248,0,179,1.12
oh_ixcQ3DS8,Descubre el nuevo modelo Virtual 📲💻de la Universidad Ean💚,"Oct 31, 2025",37,9688,55.5511,0,496,3.83
AUNrXlQ-1qo,¿Cómo entender los grandes sucesos del siglo XXI? / Conferencia de Diana Uribe,"Aug 22, 2019",3543,5318,1414.9302,30,107065,3.3
azOGTMcaYm4,"'Todos sumamos en el lugar correcto' - Experimento social sobre inclusión, Universidad Ean","Jan 17, 2024",464,5124,234.9849,12,77973,4.65
UFNBtFwi7A0,"Denario, la fintech 100 % colombiana que transforma la vida de los trabajadores en Colombia","Apr 10, 2023",137,459,18.216,0,131,11.45
rxqiH2LkJQM,5 razones por las que la Ean es tu mejor opción,"Nov 5, 2024",54,413,4.7318,2,789,8.11
K8fwUQFwHBw,OBTÉN el 30% de DESCUENTO en programas de Educación Continua de la #Ean 💡,"Mar 12, 2026",50,373,0.79,0,353,1.7
nFtU7ZBpuBM,Conoce la modalidad virtual de la Universidad Ean,"Jan 31, 2024",523,369,19.5891,4,502,7.57
G9laMqCP_ho,El emprendimiento que se convirtió en la Universidad Ean,"Nov 27, 2023",256,367,9.7981,0,571,12.61
yl8ANhpT9N0,Del salón al backstage 👀🎶 así se vive el #AprenderHaciendo en la Ean desde el #EstéreoPicnic 🔥,"Mar 21, 2026",108,286,0.6615,0,295,1.69
1WxWVFLwxwc,Aprende 12 señas básicas de Lengua de Señas Colombiana,"Sep 23, 2022",117,248,5.9162,0,742,2.29
XUFFLg5DrOQ,"Saludo de Brigitte Baptiste, nueva rectora de la Universidad Ean","Aug 1, 2019",141,241,3.8293,0,120,5
eLVykpnMYB8,Becas por Colombia: estudia virtual en la Universidad Ean  sin salir de tu región,"Mar 4, 2026",60,227,0.4797,0,497,1.81
TyIAUQBQETk,Hablar es aprender: #PAT + sábados en #ClasesDeIdiomas | #LenguasModernas,"Mar 6, 2026",57,219,0.3804,0,405,1.48
diWF9M_TbOc,"Talento hay en todas las regiones. Juan Gabriel,  hoy es magíster gracias a la U. Ean y Corpadein","Mar 18, 2026",90,219,0.908,0,6448,0.12
l7rAoqXqXt4,#GerenciaDeProyectos con impacto | #UniversidadEAN,"Mar 8, 2026",51,171,0.3315,0,424,1.89
qpE5KelAAoM,"¿Proyectos que nadie recuerda? 👀Con esta carrera, eso deja de pasar 💚","Mar 28, 2026",52,148,0.202,0,279,1.43
xpjAyzF53ts,Biblioteca Hildebrando Perico Afanador,"Jul 15, 2024",136,143,2.7361,0,299,1.67
wFhdcMCeISM,Lidera de la mano con #IA e impacto con la Maestría en Gerencia de Proyectos | #EAN,"Mar 22, 2026",52,139,0.2145,0,365,1.64
8bHA3cSMJxM,"Competitividad en Colombia: retos, productividad y oportunidades | Daniel Gómez Gaviria","Jan 16, 2026",3045,116,19.5047,0,409,6.6
c9HKWqe5o8g,Lleva tu ingeniería al siguiente nivel con un MBA en liderazgo e innovación en la Universidad Ean,"Feb 19, 2026",55,103,0.8827,0,253,4.74
FS-E4QiUJv4,¡Llegó la temporada de matrículas! Así puedes inscribir tus unidades de estudio,,180,97,3.4355,0,7,28.57
R4tF01WVbWM,Estudia Lenguas Modernas en la Universidad Ean.💥 Conoce más en www.universidadean.edu.co,"Mar 5, 2024",56,93,0.6044,0,573,5.93
tRXanM_jXkk,Yo vivo mi U I Universidad Ean,"Jan 2, 2025",126,91,2.0818,0,63,7.94
V06EARM0Blg,Brigitte Baptiste en Dia a Día de Caracol TV,"Dec 6, 2024",1133,80,3.0259,0,735,6.67
hCGCX2kaSx0,Conoce nuestro renovado MBA en sus dos modalidades,"Dec 18, 2023",52,78,0.9685,0,38,15.79
ShQFp7sTmZI,En la Universidad del Emprendimiento Sostenible podrás potenciar tus capacidades. 💚,"Mar 5, 2024",9,75,0.0953,0,577,2.43
UVfkTfm4tDo,"Refurbi, la empresa que da una segunda vida a los dispositivos electrónicos","Jun 8, 2023",140,71,1.6682,0,341,12.32
siMxWyATvcY,De estudiante a #Profesor: así se vive la #Calidad en #UniversidadEAN y #QSStars,"Mar 18, 2026",99,63,0.8723,0,981,4.08
Rdvv3XGg9Hk,"""O diseñamos un nuevo planeta o nos extinguimos"": Brigitte Baptiste","Mar 18, 2019",3214,63,9.2629,0,337,8.9
vbImyaJUhoc,¿Casas hechas de desechos? ¡Una realidad!,"Nov 22, 2017",110,61,1.4546,0,39,5.13
_u4JqppqRvM,Este es el mayor SUEÑO deportivo de Fabián | Su historia en la EAN,"Mar 3, 2026",221,61,1.0711,0,766,2.48
8lM9Srf03pc,📍 ¿Cómo cuidar nuestros ecosistemas? 🌍,"Oct 8, 2021",123,60,1.1999,1,210,13.33
9I4Z5M1mZ6w,Panorama del emprendimiento en Colombia,"Apr 19, 2024",829,51,1.0593,0,23,13.04
Cphuc6BC5Nw,La máquina que recompensa por reciclar botellas plásticas,"Jun 7, 2019",97,48,0.6792,0,38,0
-61f7nBiVnM,Puertas Adentro - Capítulo: Vivir con la IA: acompañamiento y uso responsable en casa y el aula,"Feb 27, 2026",3801,45,9.1617,0,435,2.76
AINnmcC8P14,¿Cómo reaccionar ante un robo? Análisis para Citytv,"Oct 2, 2023",349,42,0.7105,0,62,3.23
Q8lRcHP-dVQ,Educación flexible para servidores públicos con la Universidad Ean,"Feb 27, 2026",92,41,0.5474,0,389,2.83
qiXAvujGTRA,¡Conoce nuestro nuevo modelo de educación virtual!,,65,41,0.4396,0,0,
