"Date","Video Views","Profile Views","Likes","Comments","Shares"
"1 de enero","2205356","1964","1905","9","95"
"2 de enero","2367420","2334","1971","10","112"
"3 de enero","2242479","2132","1987","23","108"
"4 de enero","2199954","2220","1791","10","117"
"5 de enero","2470395","2019","1867","24","187"
"6 de enero","1531574","1220","1147","18","191"
"7 de enero","1447052","1181","1348","122","140"
"8 de enero","1651524","1255","1481","79","145"
"9 de enero","1879469","1656","1478","31","112"
"10 de enero","2159330","1834","1572","21","118"
"11 de enero","2147632","1357","1487","31","86"
"12 de enero","2045763","1532","1395","21","101"
"13 de enero","2204333","1805","1505","53","123"
"14 de enero","1919436","1497","2137","101","248"
"15 de enero","2058338","1312","1582","50","130"
"16 de enero","2183542","1634","1660","40","125"
"17 de enero","2120363","1503","1435","12","96"
"18 de enero","1936660","1327","1411","30","121"
"19 de enero","2343592","1354","1895","4","142"
"20 de enero","2139912","1847","1766","32","161"
"21 de enero","1621756","1638","1171","12","93"
"22 de enero","1401375","1343","1223","4","75"
"23 de enero","1159809","1167","984","-1","80"
"24 de enero","1537206","1584","1519","21","113"
"25 de enero","1577925","1695","1560","6","113"
"26 de enero","1724727","1827","1800","29","90"
"27 de enero","1713144","1972","1583","27","98"
"28 de enero","1671897","1592","1403","12","106"
"29 de enero","1442198","1725","1438","15","108"
"30 de enero","1503998","1874","1518","24","96"
"31 de enero","1153696","1268","1242","10","79"
