Fuente de tráfico,Vistas,Tiempo de reproducción (horas),Impresiones,Tasa de clics de las impresiones (%)
Total,1524883,7755.8121,119980,4.1
Publicidad de YouTube,1507094,6571.6559,,
Externas,6239,241.9241,,
Feed de Shorts,3273,8.437,,
Videos sugeridos,2603,346.6594,41437,4.77
Búsqueda de YouTube,2142,174.8188,29603,5.34
Funciones de exploración,1495,318.398,34788,3.25
Directa o desconocida,1092,46.9165,,
Canales de usuario,377,4.9287,12579,1.56
Playlists,207,10.8791,1573,1.97
Otras funciones de YouTube,187,27.4712,,
Notificaciones,173,3.7226,,
Páginas de sonido,1,0.0009,,
