"Date","Video Views","Profile Views","Likes","Comments","Shares"
"1 de febrero","1552424","1915","1522","10","97"
"2 de febrero","1406002","1576","1372","9","85"
"3 de febrero","1399460","1246","1204","19","92"
"4 de febrero","1660985","1864","1665","8","111"
"5 de febrero","1216818","1328","1165","7","72"
"6 de febrero","1150027","1205","1176","7","70"
"7 de febrero","1110694","1208","1228","7","57"
"8 de febrero","1438222","1923","1566","6","77"
"9 de febrero","1523081","1738","1565","11","82"
"10 de febrero","1772308","1840","1806","20","137"
"11 de febrero","1658885","1733","1592","5","91"
"12 de febrero","1505187","1646","1473","7","94"
"13 de febrero","1406433","1502","1227","6","66"
"14 de febrero","1431725","1254","1288","11","63"
"15 de febrero","1639341","1953","1482","5","174"
"16 de febrero","1277645","1334","1153","8","55"
"17 de febrero","1234255","1428","1101","5","46"
"18 de febrero","1180069","1342","1072","5","72"
"19 de febrero","1351858","1546","1410","3","60"
"20 de febrero","1412676","1453","2152","14","90"
"21 de febrero","1352346","1618","1825","-19","98"
"22 de febrero","1390653","1872","1693","38","74"
"23 de febrero","1362061","1526","1570","21","58"
"24 de febrero","1187543","1395","1504","15","106"
"25 de febrero","1208282","1272","1370","9","68"
"26 de febrero","1303975","1401","1445","5","68"
"27 de febrero","1158071","1320","1352","20","93"
"28 de febrero","1382158","1573","1455","2","52"
"1 de marzo","1760644","2010","1782","6","68"
