Fuente de tráfico,Vistas,Tiempo de reproducción (horas),Impresiones,Tasa de clics de las impresiones (%)
Total,1465070,8375.4858,231369,3.75
Publicidad de YouTube,1443516,6511.1705,,
Videos sugeridos,5535,646.5584,104133,4.24
Externas,5437,148.2131,,
Funciones de exploración,3364,687.6029,75998,3.09
Búsqueda de YouTube,2282,215.8422,34541,4.62
Feed de Shorts,1665,2.923,,
Directa o desconocida,1248,73.9493,,
Canales de usuario,394,8.9248,14520,1.57
Otras funciones de YouTube,256,51.4993,,
Playlists,214,24.8795,2177,3.54
Notificaciones,121,1.4325,,
