Fecha,Tiempo de reproducción (horas)
2021-02-11,501.789
2021-02-12,451.7712
2021-02-13,407.068
2021-02-14,486.5369
2021-02-15,470.8497
2021-02-16,460.8031
2021-02-17,462.8425
2021-02-18,400.017
2021-02-19,291.1697
2021-02-20,319.334
2021-02-21,343.7954
2021-02-22,334.0396
2021-02-23,496.8417
2021-02-24,316.2663
2021-02-25,296.673
2021-02-26,306.2558
2021-02-27,245.2981
2021-02-28,416.232
2021-03-01,361.0726
2021-03-02,320.3012
2021-03-03,314.4602
2021-03-04,319.0166
2021-03-05,263.6488
2021-03-06,314.4386
2021-03-07,333.8068
2021-03-08,320.4657
2021-03-09,323.0966
2021-03-10,308.0657
2021-03-11,383.3268
2021-03-12,440.0653
2021-03-13,453.993
2021-03-14,481.1082
2021-03-15,490.4593
2021-03-16,530.471
2021-03-17,544.5872
2021-03-18,577.1277
2021-03-19,549.4899
2021-03-20,598.8184
2021-03-21,539.3699
2021-03-22,623.9735
2021-03-23,476.0022
2021-03-24,463.8181
2021-03-25,461.7622
2021-03-26,433.5993
2021-03-27,466.9626
2021-03-28,487.8449
2021-03-29,400.4051
2021-03-30,359.3876
2021-03-31,368.664
2021-04-01,392.4154
2021-04-02,389.5686
2021-04-03,372.7446
2021-04-04,393.9271
2021-04-05,289.1378
2021-04-06,274.1698
2021-04-07,298.3228
2021-04-08,290.5192
2021-04-09,315.8993
2021-04-10,332.9417
2021-04-11,372.6142
2021-04-12,268.6828
2021-04-13,280.5471
2021-04-14,297.4781
2021-04-15,208.2694
2021-04-16,234.1545
2021-04-17,241.6106
2021-04-18,267.2327
2021-04-19,221.9535
2021-04-20,219.3763
2021-04-21,236.8806
2021-04-22,213.5929
2021-04-23,218.4535
2021-04-24,262.3534
2021-04-25,217.74
2021-04-26,202.3272
2021-04-27,205.8144
2021-04-28,180.4245
2021-04-29,193.403
2021-04-30,222.732
2021-05-01,260.8172
2021-05-02,264.2371
2021-05-03,217.2538
2021-05-04,228.7143
2021-05-05,241.3549
2021-05-06,246.9553
2021-05-07,247.6112
2021-05-08,250.4282
2021-05-09,338.8653
2021-05-10,256.936
2021-05-11,271.6398
2021-05-12,245.1835
2021-05-13,253.6187
2021-05-14,244.0873
2021-05-15,224.9444
2021-05-16,278.5821
2021-05-17,296.6447
2021-05-18,317.7423
2021-05-19,297.2084
2021-05-20,262.7357
2021-05-21,300.7415
2021-05-22,275.5248
2021-05-23,316.8142
2021-05-24,331.0492
2021-05-25,353.8523
2021-05-26,248.4322
2021-05-27,256.9464
2021-05-28,260.2903
2021-05-29,302.4316
2021-05-30,257.4141
2021-05-31,288.2997
2021-06-01,281.9542
2021-06-02,281.2925
2021-06-03,254.256
2021-06-04,205.4447
2021-06-05,255.2024
2021-06-06,243.7223
2021-06-07,307.4327
2021-06-08,219.2269
2021-06-09,236.4658
2021-06-10,223.2365
2021-06-11,199.2819
2021-06-12,205.3271
2021-06-13,192.9612
2021-06-14,204.8665
2021-06-15,196.9813
2021-06-16,197.3615
2021-06-17,204.4279
2021-06-18,175.4668
2021-06-19,219.8513
2021-06-20,183.1918
2021-06-21,220.2706
2021-06-22,196.5859
2021-06-23,183.18
2021-06-24,192.5315
2021-06-25,216.6058
2021-06-26,205.9425
2021-06-27,202.8713
2021-06-28,170.4529
2021-06-29,151.4904
2021-06-30,186.8879
2021-07-01,193.7055
2021-07-02,217.426
2021-07-03,169.0727
2021-07-04,186.9817
2021-07-05,211.6268
2021-07-06,191.056
2021-07-07,213.3063
2021-07-08,158.2213
2021-07-09,123.4713
2021-07-10,114.0522
2021-07-11,121.5585
2021-07-12,155.3271
2021-07-13,129.854
2021-07-14,134.5314
2021-07-15,137.8269
2021-07-16,130.8112
2021-07-17,116.9154
2021-07-18,145.0569
2021-07-19,135.8191
2021-07-20,140.167
2021-07-21,148.8213
2021-07-22,138.8747
2021-07-23,105.6438
2021-07-24,109.3521
2021-07-25,116.2312
2021-07-26,116.2424
2021-07-27,117.0547
2021-07-28,131.4321
2021-07-29,127.272
2021-07-30,116.0601
2021-07-31,112.2038
2021-08-01,116.2179
2021-08-02,109.501
2021-08-03,102.8451
2021-08-04,107.9229
2021-08-05,106.9603
2021-08-06,113.1502
2021-08-07,101.0546
2021-08-08,126.7796
2021-08-09,130.0992
2021-08-10,108.8351
2021-08-11,122.0494
2021-08-12,105.8126
2021-08-13,109.9873
2021-08-14,105.2432
2021-08-15,99.0681
2021-08-16,153.0789
2021-08-17,169.2559
2021-08-18,159.6959
2021-08-19,135.4815
2021-08-20,150.2062
2021-08-21,143.4557
2021-08-22,150.1429
2021-08-23,115.8782
2021-08-24,167.1281
2021-08-25,175.4661
2021-08-26,151.6672
2021-08-27,190.0412
2021-08-28,171.9038
2021-08-29,195.7444
2021-08-30,199.7507
2021-08-31,157.3085
2021-09-01,187.1226
2021-09-02,154.7109
2021-09-03,191.4403
2021-09-04,209.7271
2021-09-05,208.5747
2021-09-06,226.6054
2021-09-07,195.4158
2021-09-08,209.8292
2021-09-09,257.2926
2021-09-10,239.4646
2021-09-11,211.1154
2021-09-12,199.4608
2021-09-13,245.0918
2021-09-14,242.0324
2021-09-15,193.2902
2021-09-16,198.4908
2021-09-17,211.8574
2021-09-18,176.0905
2021-09-19,209.0551
2021-09-20,209.7064
2021-09-21,199.8304
2021-09-22,188.7013
2021-09-23,217.3349
2021-09-24,199.1905
2021-09-25,172.0583
2021-09-26,172.8279
2021-09-27,214.0236
2021-09-28,243.1228
2021-09-29,200.4046
2021-09-30,185.1933
2021-10-01,206.0487
2021-10-02,184.62
2021-10-03,214.7754
2021-10-04,255.0028
2021-10-05,212.4078
2021-10-06,227.6629
2021-10-07,169.6255
2021-10-08,216.5266
2021-10-09,180.6643
2021-10-10,178.7937
2021-10-11,229.0166
2021-10-12,173.9408
2021-10-13,193.6655
2021-10-14,186.9417
2021-10-15,153.6421
2021-10-16,153.3592
2021-10-17,164.8959
2021-10-18,225.1586
2021-10-19,215.9888
2021-10-20,195.3408
2021-10-21,202.5016
2021-10-22,202.4276
2021-10-23,191.6179
2021-10-24,228.2171
2021-10-25,240.1056
2021-10-26,207.519
2021-10-27,205.6327
2021-10-28,204.3629
2021-10-29,157.6071
2021-10-30,205.0991
2021-10-31,209.8409
2021-11-01,213.9595
2021-11-02,195.8593
2021-11-03,185.2326
2021-11-04,191.0711
2021-11-05,180.5108
2021-11-06,147.7998
2021-11-07,225.5827
2021-11-08,261.4208
2021-11-09,159.5436
2021-11-10,189.2107
2021-11-11,141.6628
2021-11-12,185.6284
2021-11-13,160.2672
2021-11-14,217.8212
2021-11-15,221.8646
2021-11-16,192.2713
2021-11-17,148.0001
2021-11-18,204.1479
2021-11-19,169.0534
2021-11-20,140.2006
2021-11-21,194.0028
2021-11-22,228.2994
2021-11-23,160.0994
2021-11-24,155.0941
2021-11-25,153.3367
2021-11-26,138.6221
2021-11-27,170.3966
2021-11-28,147.2672
2021-11-29,148.1269
2021-11-30,134.209
2021-12-01,101.5114
2021-12-02,111.3408
2021-12-03,62.3421
2021-12-04,74.5208
2021-12-05,78.0088
2021-12-06,59.7762
2021-12-07,40.6023
2021-12-08,65.0228
2021-12-09,46.6081
2021-12-10,53.8971
2021-12-11,60.4381
2021-12-12,74.9482
2021-12-13,63.7322
2021-12-14,70.3018
2021-12-15,68.5498
2021-12-16,69.2299
2021-12-17,70.5109
2021-12-18,51.1359
2021-12-19,51.1261
2021-12-20,49.3106
2021-12-21,57.569
2021-12-22,43.7886
2021-12-23,48.3294
2021-12-24,35.6778
2021-12-25,36.8571
2021-12-26,52.7529
2021-12-27,61.8192
2021-12-28,70.7949
2021-12-29,48.2164
2021-12-30,47.3605
2021-12-31,46.4582
2022-01-01,50.2663
2022-01-02,64.6357
2022-01-03,66.8562
2022-01-04,71.517
2022-01-05,86.3501
