,,,,,,,,,Lugar de grado
Instituciones,Programa,Sexo,Periodo graduación,Año de corte,Tipo de cotizante,Sector económico,17 Rangos salariales,7 Rangos salariales,País
Código institución,Código programa,Sexo,Semestre,Año,Tipo de cotizante,Sección,17 Rangos salariales,7 Rangos salariales,Colombia
2829-Corporación Universitaria Minuto de Dios - UNIMINUTO,12165-ESPECIALIZACION EN DISEÑO DE AMBIENTES DE APRENDIZAJE,Femenino,2009-1,2016,Dependiente,Educación,Entre 5 y 6 SMMLV,Entre 4 y 6 SMMLV,1
2829-Corporación Universitaria Minuto de Dios - UNIMINUTO,12165-ESPECIALIZACION EN DISEÑO DE AMBIENTES DE APRENDIZAJE,Femenino,2009-1,2017,Dependiente,Educación,"Entre 4,5 y 5 SMMLV",Entre 4 y 6 SMMLV,1
2829-Corporación Universitaria Minuto de Dios - UNIMINUTO,12165-ESPECIALIZACION EN DISEÑO DE AMBIENTES DE APRENDIZAJE,Femenino,2009-1,2018,Dependiente,Educación,"Entre 1 y 1,5 SMMLV","Entre 1 y 1,5 SMMLV",1
2829-Corporación Universitaria Minuto de Dios - UNIMINUTO,12165-ESPECIALIZACION EN DISEÑO DE AMBIENTES DE APRENDIZAJE,Femenino,2009-1,2019,Dependiente,Educación,"Entre 1 y 1,5 SMMLV","Entre 1 y 1,5 SMMLV",1
2829-Corporación Universitaria Minuto de Dios - UNIMINUTO,12165-ESPECIALIZACION EN DISEÑO DE AMBIENTES DE APRENDIZAJE,Masculino,2009-1,2016,Dependiente,Educación,Entre 9 y 11 SMMLV,Más de 9 SMMLV,1
2829-Corporación Universitaria Minuto de Dios - UNIMINUTO,12165-ESPECIALIZACION EN DISEÑO DE AMBIENTES DE APRENDIZAJE,Masculino,2009-1,2016,Dependiente,Educación,Más de 15 SMMLV,Más de 9 SMMLV,1
2829-Corporación Universitaria Minuto de Dios - UNIMINUTO,12165-ESPECIALIZACION EN DISEÑO DE AMBIENTES DE APRENDIZAJE,Masculino,2009-1,2017,Dependiente,Educación,"Entre 3,5 y 4 SMMLV","Entre 2,5 y 4 SMMLV",1
2829-Corporación Universitaria Minuto de Dios - UNIMINUTO,12165-ESPECIALIZACION EN DISEÑO DE AMBIENTES DE APRENDIZAJE,Masculino,2009-1,2017,Dependiente,Educación,Más de 15 SMMLV,Más de 9 SMMLV,1
2829-Corporación Universitaria Minuto de Dios - UNIMINUTO,12165-ESPECIALIZACION EN DISEÑO DE AMBIENTES DE APRENDIZAJE,Masculino,2009-1,2018,Dependiente,Educación,"Entre 3,5 y 4 SMMLV","Entre 2,5 y 4 SMMLV",1
2829-Corporación Universitaria Minuto de Dios - UNIMINUTO,12165-ESPECIALIZACION EN DISEÑO DE AMBIENTES DE APRENDIZAJE,Masculino,2009-1,2018,Dependiente,Educación,Más de 15 SMMLV,Más de 9 SMMLV,1
2829-Corporación Universitaria Minuto de Dios - UNIMINUTO,12165-ESPECIALIZACION EN DISEÑO DE AMBIENTES DE APRENDIZAJE,Masculino,2009-1,2019,Dependiente,Educación,"Entre 2 y 2 ,5 SMMLV","Entre 1,5 y 2,5 SMMLV",1
2829-Corporación Universitaria Minuto de Dios - UNIMINUTO,12165-ESPECIALIZACION EN DISEÑO DE AMBIENTES DE APRENDIZAJE,Masculino,2009-1,2019,Dependiente,Educación,Más de 15 SMMLV,Más de 9 SMMLV,1
2829-Corporación Universitaria Minuto de Dios - UNIMINUTO,12165-ESPECIALIZACION EN DISEÑO DE AMBIENTES DE APRENDIZAJE,Masculino,2009-1,2020,Dependiente,Educación,"Entre 1,5 y 2 SMMLV","Entre 1,5 y 2,5 SMMLV",1
2732-Fundación Universitaria Católica del Norte,11361-ADMINISTRACION AMBIENTAL,Femenino,2009-1,2016,Dependiente,Construccion,"Entre 1 y 1,5 SMMLV","Entre 1 y 1,5 SMMLV",1
2732-Fundación Universitaria Católica del Norte,11361-ADMINISTRACION AMBIENTAL,Femenino,2009-1,2017,Dependiente,Sin información,1 SMMLV,1 SMMLV,1
2732-Fundación Universitaria Católica del Norte,11361-ADMINISTRACION AMBIENTAL,Masculino,2009-1,2016,Dependiente,Industrias manufactureras,"Entre 3,5 y 4 SMMLV","Entre 2,5 y 4 SMMLV",1
2732-Fundación Universitaria Católica del Norte,11361-ADMINISTRACION AMBIENTAL,Masculino,2009-1,2017,Dependiente,Industrias manufactureras,"Entre 3,5 y 4 SMMLV","Entre 2,5 y 4 SMMLV",1
